Id,SalePrice
2658,136868.24659945283
2718,207263.39065362015
2414,198991.02315833198
1989,104705.47303544192
625,185506.07848888566
333,88402.3006098826
1327,96853.77175245142
858,148613.17258332082
95,202689.87216184556
1568,152078.72603483533
2482,171821.9702881852
1364,110350.40890702068
2584,162303.7244974076
818,257823.5209179669
2673,166885.05661057011
2089,111572.4761081264
1297,154180.40762134668
790,122228.51629382276
2616,183533.43913263184
720,212390.27328639073
222,135246.46183225344
557,122274.43122032937
1148,207872.97522124377
2766,136798.49355036236
534,195893.023619246
1452,107591.19798876568
630,150122.00468641453
2648,138988.57064309204
125,152196.76864640796
1904,61299.48376820046
1670,114173.81722913256
756,109318.78288302498
717,263035.06859467155
1032,151829.57438587327
852,229102.99806011876
1731,178765.24766517553
2639,131042.88536807109
2071,86307.67776742236
1267,102335.6892349738
1851,196842.03540263328
567,157663.76729293825
2439,225126.2615248193
1898,153703.53748989082
647,142912.01287928893
2256,235426.11154704183
979,94798.2156850965
1444,229450.32675480784
2485,99654.08081035274
157,117510.93851345743
88,125025.31139798081
2003,105527.88304648212
186,211772.62974775003
1425,267619.7880499681
2695,122068.24583473819
738,118501.9409330053
395,145788.00751556465
1353,162772.18837336934
1878,148231.30640885793
390,157275.73673113162
1456,238106.00873046665
1103,310765.31488817674
1387,133129.09717240033
2070,151143.76883020625
1199,172793.3933940016
2479,180023.86605486035
501,317549.4055311952
2362,84535.17430145133
1718,203921.2033451072
2188,54078.42161924597
1483,144395.39599945245
2557,96211.08951239738
437,329278.24684431887
2224,199233.48739769284
1628,190525.21991077313
397,130991.12466087237
587,211027.09788411343
2182,258329.3937126243
971,129067.28822861545
2611,142090.15047708264
1887,76174.57078381212
2399,378213.4025277794
2148,223497.49643549588
304,115799.83439758829
1997,131885.4630535811
2817,133866.92221822808
1431,179601.1748682481
427,341252.67294225644
263,113558.7325574988
598,184146.40157524322
2895,249288.478018613
687,152896.6583119601
1822,122266.8859098155
2191,115109.09895982382
179,102874.225912596
1009,222120.37784012145
2010,102344.2845509802
1991,145682.46599718774
1411,169697.60623695177
1721,252331.79354237387
1144,190709.10461171233
593,224746.7244643766
575,323056.7480409002
1249,196890.19341508177
1604,110374.7434555746
1064,461210.9074711676
1923,151362.04291533303
1988,80505.21366643607
2325,180854.11890957342
114,198281.74045346252
2700,195806.13419058337
217,161940.5400178492
343,188885.65572848963
386,246636.39557786344
2005,89457.50830938129
2908,118096.80691589684
1814,216094.06519511977
2446,413614.4591397338
208,152798.74920433207
1679,120678.6857702013
822,360701.98833460076
6,188298.56519340703
1781,435014.36085914925
2397,320086.00337903074
2340,289402.55639745697
1618,153940.32183814474
2843,163252.81110259795
1061,367927.96979036246
2786,108327.0555027373
1935,121989.80607983288
1341,117714.30528722436
521,277860.07109636726
2136,134050.61965030158
996,177220.69245542923
227,145660.1267406374
135,162869.75196389144
1167,155194.46137697314
294,232927.7152812811
1776,202090.20297833363
540,185169.82762385605
1717,203921.2033451072
2303,114514.09765698068
116,183753.22773197576
127,127047.55705980054
1371,120656.97048719326
1014,177818.56205879175
1507,70858.88889182117
702,161016.47398006154
750,153382.69568535723
261,152350.60573193477
1559,56160.80154433826
577,232218.35206446575
2812,209005.55950945412
2080,166840.22940318016
1368,99248.24889608225
2376,112866.50675693121
659,105348.05220974812
1235,126363.36946761866
332,74142.41248789178
1917,134455.17389559935
2094,257651.11467504292
1460,296821.2647316824
1471,205822.0339278526
1509,117439.51229697018
1922,117908.99834542624
433,462268.24720705685
460,334528.960589668
1116,252664.1250900469
1137,161566.30505853513
53,186334.00201787712
2354,251968.7553855474
1475,204159.67311333423
1761,220013.53285924552
842,129014.83418925901
2739,182529.57182671
2509,170570.83688577518
1007,219618.65507241598
2610,188843.56154821924
1952,102125.97057733427
2719,202185.30183067938
2921,88402.3006098826
1966,137029.95394281612
292,141797.57559781297
1204,202067.41580707836
1829,240544.45341313016
2419,193389.08954394728
391,166223.4385093369
798,122768.47129034062
481,203846.05408529888
193,217625.3173284742
555,117827.33809609759
899,76587.8789735225
2357,180663.28573850033
328,105427.84456448648
1356,100382.70994309639
1154,109008.41974939083
1730,185535.53976447775
2249,139792.93391861877
1119,274199.494600974
2856,141343.44889550013
1394,137069.2164155718
2587,125342.07990872217
61,317038.2129302155
2661,174213.67548693772
2711,117328.66285689338
1147,192070.37757903937
757,132589.52732117678
2623,79743.67631830911
2378,162595.9821743145
1413,137930.63449255476
1722,236024.0545458199
1112,223356.1914805218
1623,179655.81186680126
1201,209460.4838690703
1513,121576.45876576906
957,228514.6272661647
1171,294390.10721040773
1145,210204.24965221094
2726,216250.4203936816
703,132152.20939492
760,78590.71068226457
1964,129288.1879471672
2512,189510.45189253948
159,141576.37056265908
1281,188493.58022462315
468,187205.37132938748
290,125761.97727867
665,126739.25733726408
1463,277128.18716646044
1792,224765.86656370596
923,135404.1104935457
500,302864.0279415526
1408,142283.192308652
331,57881.91963117846
170,165980.547323274
2192,100518.5835601409
2571,318749.59024908487
2314,162052.03520058678
2647,86357.76878719997
422,423445.9370474522
2457,313857.9511936366
1838,209392.05285241257
2805,257427.897496267
1645,153444.90512029687
1711,322246.88084137393
2825,263844.74746497284
322,368139.49583265744
2103,275649.52672494214
342,116146.27551821327
600,108426.6900140554
488,186276.25124896198
1725,362547.40815906285
2246,252921.58779132785
2847,157698.12524205435
806,252267.35631955636
530,239978.5337741083
963,188345.64056096715
2678,75855.33933877942
171,77189.70123006296
2401,431697.8300843582
805,226682.2027615284
2259,210797.6981822042
1748,188919.67007101077
1361,127766.81627248002
1677,118510.18086776845
1406,157629.31493391973
2322,233851.5344288
688,177612.66313827693
143,141073.00947009548
804,213526.64638940906
1214,165130.23783581099
2828,125042.53590880793
1999,182534.2935774001
2467,196975.14345021936
2665,166422.60880413058
1538,327783.8640716827
398,110434.209296941
2822,134797.30574888558
2157,140089.4727699753
1856,180102.5632303312
1269,85947.0140123007
2570,119626.4762806224
2320,254964.40378522
1517,114254.1393155354
2304,106102.71173483066
1312,86722.93080781614
2012,127675.0097397426
506,228543.47478830273
2865,200997.92405496736
2367,107216.40304652373
554,93556.47697440627
238,137250.3832467983
1954,107648.1173413546
2488,114618.99565669512
2291,91422.18544570637
1969,81716.69501444863
2725,160165.92892392218
1482,144395.39599945245
2763,222001.9190051573
503,255563.67960123252
1584,246025.4486821005
1531,168313.23027756138
2210,181856.58087827353
459,366138.33964551083
556,129584.49518999437
1347,155334.95033026676
1290,71121.88718468658
1388,101041.0732257685
1571,185413.32154930837
2754,213015.7884785888
765,129285.12362389121
2494,117451.60780939793
2870,219028.48195543163
7,223198.32627472415
1114,238689.30974554498
2418,288615.54172086867
291,123716.85316572728
18,353277.8917610858
39,373385.88341458054
1001,260865.09814057124
2442,256733.45734916258
616,142974.9441967908
2680,39517.20026966391
1414,133339.73540536815
289,166912.73313911117
40,255113.20714905474
860,122550.37035044341
409,131553.4558835404
